"","영화명","배우"
"1","명량","최민식 류승룡 조진웅 김명곤 진구 이정현 권율"
"2","극한직업","류승룡 이하늬 진선규 이동휘 공명 양현민 장진희"
"3","신과함께-죄와 벌","하정우 차태현 주지훈 김향기 마동석 김동욱 도경수"
"4","국제시장","황정민 김윤진 오달수 정진영 장영남 라미란 김슬기"
"5","베테랑","황정민 유아인 유해진 오달수 장윤주 김시후 오대환"
"6","괴물","송강호 변희봉 박해일 배두나 고아성 오달수 박노식"
"7","도둑들","김윤석 김혜수 이정재 전지현 임달화 김해숙 오달수"
"8","7번방의 선물","류승룡 박신혜 갈소원 정진영 오달수 박원상 김정태"
"9","암살","전지현 이정재 하정우 오달수 조진웅 이경영 최덕문"
"10","광해, 왕이 된 남자","이병헌 류승룡 한효주 장광 김인권 심은경 김명곤"
"11","왕의 남자","감우성 이준기 유해진 정진영 박영수 강성연 이건우"
"12","신과함께-인과 연","하정우 주지훈 김향기 마동석 김동욱 이정재 김기태"
"13","택시운전사","이수민 송강호 토마스 크레취만 유해진 류준열 박혁권 최귀화"
"14","태극기 휘날리며","장동건 원빈 이은주 조원희 이장욱 이영란 정희준"
"15","부산행","공유 김정희 정유미 김율호 마동석 최우식 안소희"
"16","해운대","설경구 하지원 박중훈 엄정화 이민기 강대규 김원영"
"17","변호인","송강호 김영애 오달수 곽도원 임시완 송영창 정원중"
"18","실미도","설경구 안성기 허준호 정재영 임원희 강성진 강신일"
"19","기생충","송강호 이선균 조여정 최우식 박소담 이정은 장혜진"
"20","검사외전","황정민 강동원 이성민 박성웅 김응수 신소율 주진모"
"21","엑시트","조정석 윤아 고두심 박인환 김지영 강기영 오희준"
"22","설국열차","크리스 에반스 송강호 에드 해리스 존 허트 틸다 스윈튼 제이미 벨 옥타비아 스펜서"
"23","관상","송강호 이정재 백윤식 조정석 이종석 김혜수 신기원"
"24","해적: 바다로 간 산적","김남길 손예진 유해진 이경영 오달수 김태우 박철민"
"25","수상한 그녀","심은경 나문희 박인환 성동일 이진욱 김현숙 황정민"
"26","국가대표","하정우 성동일 김지석 김동욱 최재환 이재응 이은성"
"27","디워","브룩스 아만다 베어 제이슨 NA NA NA NA NA"
"28","과속스캔들","차태현 박보영 왕석현 임지규 황우슬혜 정원중 김기방"
"29","웰컴 투 동막골","신하균 정재영 강혜정 류덕환 임하룡 강남석 조혜진"
"30","공조","현빈 유해진 김주혁 장영남 이해영 윤아 이동휘"
"31","히말라야","황정민 정우 조성하 김인권 라미란 김원해 이해영"
"32","밀정","송강호 공유 한지민 츠루미 신고 엄태구 신성록 서영주"
"33","최종병기 활","박해일 류승룡 김무열 문채원 이한위 김구택 이경영"
"34","써니","유호정 심은경 강소라 고수희 홍진희 강지원 김민영"
"35","화려한 휴가","김상경 이창민 안성기 이요원 이준기 박철민 송진호"
"36","1987","김윤석 하정우 유해진 김태리 박희순 이희준 설경구"
"37","베를린","하정우 한석규 류승범 전지현 이경영 최무성 곽도원"
"38","마스터","이병헌 강동원 김우빈 엄지원 박해수 오달수 진경"
"39","터널","하정우 배두나 오달수 김종수 임한빈 정민희 송민석"
"40","내부자들","이병헌 조승우 백윤식 이경영 김홍파 배성우 조재윤"
"41","인천상륙작전","김정철 이정재 이범수 리암 니슨 진세연 정준호 박철민"
"42","럭키","유해진 이준 조윤희 임지연 전혜빈 이동휘 박선용"
"43","은밀하게 위대하게","김수현 박기웅 이현우 손현주 박혜숙 김성균 고창석"
"44","곡성","곽도원 황정민 쿠니무라 준 천우희 김환희 허진 장소연"
"45","범죄도시","마동석 윤계상 조재윤 최귀화 박상규 유지연 최성재"
"46","타짜","조승우 김혜수 백윤식 유해진 김응수 김상호 김윤석"
"47","좋은 놈, 나쁜 놈, 이상한 놈","송강호 이병헌 정우성 오달수 엄지원 김광일 손병호"
"48","늑대소년","송중기 박보영 장영남 유연석 김향기 장서이 한민혁"
"49","미녀는 괴로워","김아중 주진모 김현숙 신미영 김원 조아영 신정원"
"50","군함도","황정민 김규백 명인호 소지섭 송중기 이정현 김수안"
"51","백두산","이병헌 하정우 마동석 전혜진 배수지 김연교 정윤하"
"52","아저씨","원빈 김새론 김희원 김성오 김호연 류성훈 김효민"
"53","사도","송강호 유아인 문근영 전혜진 김해숙 박원상 진지희"
"54","전우치","강동원 임수정 김윤석 유해진 염정아 김시권 주진모"
"55","투사부일체","정준호 정웅인 김상중 김응수 임성민 박용식 최윤영"
"56","연평해전","김무열 김율호 진구 이현우 이완 이청아 천민희"
