영화명,개봉일,매출액,관객수,스크린수,대표국적,국적,배급사
명량,2014-07-30,"135,748,398,910","17,613,682","1,587",한국,한국,씨제이이앤엠(주)
극한직업,2019-01-23,"139,647,979,516","16,264,944","1,978",한국,한국,씨제이이앤엠(주)
신과함께-죄와 벌,2017-12-20,"115,698,654,137","14,410,754","1,912",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
국제시장,2014-12-17,"110,913,469,630","14,257,115",966,한국,한국,씨제이이앤엠(주)
베테랑,2015-08-05,"105,168,155,250","13,414,009","1,064",한국,한국,씨제이이앤엠(주)
괴물,2006-07-27,0,"13,019,740",167,한국,한국,(주)쇼박스
도둑들,2012-07-25,"93,665,568,500","12,983,330","1,072",한국,"한국,홍콩",(주)쇼박스
7번방의 선물,2013-01-23,"91,431,914,670","12,811,206",787,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
암살,2015-07-22,"98,463,132,781","12,705,700","1,519",한국,한국,(주)쇼박스
"광해, 왕이 된 남자",2012-09-13,"88,900,208,769","12,319,542",810,한국,한국,씨제이이앤엠(주)
왕의 남자,2005-12-29,0,"12,302,831",94,한국,한국,(주)시네마서비스
신과함께-인과 연,2018-08-01,"102,666,146,909","12,274,996","2,235",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
택시운전사,2017-08-02,"95,855,737,149","12,186,684","1,906",한국,한국,(주)쇼박스
태극기 휘날리며,2004-02-05,0,"11,746,135",110,한국,한국,(주)쇼박스
부산행,2016-07-20,"93,178,283,048","11,565,479","1,788",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
해운대,2009-07-22,"81,934,638,201","11,453,338",753,한국,한국,씨제이엔터테인먼트
변호인,2013-12-18,"82,871,759,300","11,374,610",923,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
실미도,2003-12-24,0,"11,081,000",83,한국,한국,(주)시네마서비스
기생충,2019-05-30,"85,981,336,325","10,097,787","1,948",한국,한국,씨제이이앤엠(주)
검사외전,2016-02-03,"77,319,445,264","9,707,158","1,812",한국,한국,(주)쇼박스
엑시트,2019-07-31,"79,232,212,162","9,426,051","1,660",한국,한국,씨제이이앤엠(주)
설국열차,2013-08-01,"67,010,077,500","9,349,991","1,128",한국,"한국,체코",씨제이이앤엠(주)
관상,2013-09-11,"66,005,451,500","9,134,586","1,190",한국,한국,(주)쇼박스
해적: 바다로 간 산적,2014-08-06,"66,370,682,706","8,666,046",838,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
수상한 그녀,2014-01-22,"62,696,639,249","8,656,397",692,한국,한국,씨제이이앤엠(주)
국가대표,2009-07-29,"60,896,633,308","8,487,894",580,한국,한국,(주)쇼박스
디워,2007-08-01,0,"8,426,973",148,한국,한국,(주)쇼박스
백두산,2019-12-19,"69,799,833,420","8,249,195","1,971",한국,한국,"씨제이이앤엠(주),(주)덱스터스튜디오"
과속스캔들,2008-12-03,"53,940,101,534","8,245,523",405,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
웰컴 투 동막골,2005-08-04,0,"8,008,622",114,한국,한국,(주)쇼박스
공조,2017-01-18,"63,781,731,326","7,817,446",976,한국,한국,씨제이이앤엠(주)
히말라야,2015-12-16,"60,173,583,015","7,759,473","1,009",한국,한국,씨제이이앤엠(주)
밀정,2016-09-07,"61,269,783,831","7,500,420","1,444",한국,"한국,미국",워너브러더스 코리아(주)
최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
써니,2011-05-04,"54,034,235,100","7,362,467",472,한국,한국,씨제이이앤엠(주)
화려한 휴가,2007-07-25,0,"7,307,993",116,한국,한국,씨제이엔터테인먼트
1987,2017-12-27,"58,165,581,145","7,231,638","1,299",한국,한국,씨제이이앤엠(주)
베를린,2013-01-30,"52,354,931,637","7,166,199",894,한국,"한국,독일",씨제이이앤엠(주)
마스터,2016-12-21,"58,067,927,865","7,150,541","1,501",한국,한국,씨제이이앤엠(주)
터널,2016-08-10,"57,529,484,417","7,120,508","1,105",한국,한국,(주)쇼박스
내부자들,2015-11-19,"56,598,130,057","7,072,021","1,075",한국,한국,(주)쇼박스
인천상륙작전,2016-07-27,"55,101,410,303","7,049,643","1,049",한국,한국,씨제이이앤엠(주)
럭키,2016-10-13,"56,444,461,256","6,975,290","1,158",한국,한국,(주)쇼박스
은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341",한국,한국,(주)쇼박스
곡성,2016-05-12,"55,863,520,382","6,879,908","1,485",한국,"한국,미국",이십세기폭스코리아(주)
범죄도시,2017-10-03,"56,318,014,149","6,879,841","1,315",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
타짜,2006-09-28,0,"6,847,777",147,한국,한국,씨제이엔터테인먼트
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,768,628,939","6,686,912",825,한국,한국,씨제이엔터테인먼트
늑대소년,2012-10-31,"46,593,107,500","6,654,837",706,한국,한국,씨제이이앤엠(주)
미녀는 괴로워,2006-12-14,0,"6,619,498",93,한국,한국,(주)쇼박스
군함도,2017-07-26,"50,510,565,168","6,592,151","2,027",한국,한국,씨제이이앤엠(주)
아저씨,2010-08-04,"47,870,792,359","6,282,774",478,한국,한국,씨제이엔터테인먼트
사도,2015-09-16,"48,842,902,501","6,246,849","1,210",한국,한국,(주)쇼박스
전우치,2009-12-23,"44,605,437,017","6,136,928",606,한국,한국,씨제이엔터테인먼트
투사부일체,2006-01-19,0,"6,105,431",93,한국,한국,씨제이엔터테인먼트
연평해전,2015-06-24,"45,563,228,330","6,043,784","1,013",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
쉬리,1999-02-13,0,"5,820,000",0,한국,한국,
청년경찰,2017-08-09,"44,381,150,516","5,653,270","1,102",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
가문의 위기(가문의 영광2),2005-09-07,0,"5,635,266",101,한국,한국,(주)쇼박스
숨바꼭질,2013-08-14,"39,602,987,500","5,604,104",779,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
덕혜옹주,2016-08-03,"44,393,828,109","5,599,229",964,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
더 테러 라이브,2013-07-31,"39,866,712,881","5,583,596",743,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
감시자들,2013-07-03,"39,380,162,179","5,508,017",949,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
의형제,2010-02-04,"40,800,867,602","5,507,106",572,한국,한국,(주)쇼박스
검은 사제들,2015-11-05,"42,407,832,092","5,442,553","1,088",한국,한국,씨제이이앤엠(주)
안시성,2018-09-19,"46,335,334,026","5,440,186","1,540",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
더 킹,2017-01-18,"43,486,078,535","5,316,325","1,310",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
완득이,2011-10-20,"38,530,503,500","5,310,510",500,한국,한국,씨제이이앤엠(주)
완벽한 타인,2018-10-31,"44,356,752,474","5,294,119","1,313",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
살인의 추억,2003-04-25,,"5,255,376",54,한국,한국,씨제이엔터테인먼트
타워,2012-12-25,"37,654,858,000","5,181,014",617,한국,한국,씨제이이앤엠(주)
말아톤,2005-01-27,0,"5,148,022",73,한국,한국,(주)쇼박스
추격자,2008-02-14,"33,943,278,500","5,071,619",435,한국,한국,(주)쇼박스
독전,2018-05-22,"43,484,892,913","5,063,620","1,357",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
공작,2018-08-08,"42,788,691,176","4,974,512","1,317",한국,한국,씨제이이앤엠(주)
동갑내기 과외하기,2003-02-07,,"4,937,573",54,한국,한국,씨제이엔터테인먼트
바람과 함께 사라지다,2012-08-08,"34,614,661,161","4,909,937",694,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
"님아, 그 강을 건너지 마오",2014-11-27,"37,355,277,679","4,801,527",206,한국,한국,"CGV아트하우스,(주)대명문화공장"
봉오동 전투,2019-08-07,"40,588,648,538","4,787,538","1,476",한국,한국,(주)쇼박스
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500","4,786,259",611,한국,한국,(주)쇼박스
군도: 민란의 시대,2014-07-23,"36,987,755,999","4,774,895","1,394",한국,한국,(주)쇼박스
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,538,823,500","4,719,872",699,한국,한국,(주)쇼박스
신세계,2013-02-21,"34,881,330,905","4,682,492",671,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
도가니,2011-09-22,"35,566,854,800","4,662,822",644,한국,한국,씨제이이앤엠(주)
내 아내의 모든 것,2012-05-17,"34,222,160,500","4,598,583",563,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
판도라,2016-12-07,"36,064,461,064","4,583,645","1,166",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511",한국,한국,씨제이이앤엠(주)
연가시,2012-07-05,"32,175,400,664","4,515,833",759,한국,한국,씨제이이앤엠(주)
강철비,2017-12-14,"35,489,576,466","4,452,740","1,426",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
